user_id,status_id,created_at,screen_name,text,source,display_text_width,country
1364987587618766850,1406694354563985409,2021-06-20T19:24:03Z,DrSari16,and then there's taehyung &amp; jungkook parenting yeontan. happy father's day 💗 https://t.co/LjtyK0QklW,Twitter for Android,120,NA
3471109580,1406694346959867904,2021-06-20T19:24:02Z,author2authors,"Want to get valuable advice on how to successfully raise your children? Grab a copy of ""The Five Parenting Commandments"" now. #parenting #children #advice  @asktheprincipal available at Amazon --&gt; https://t.co/zT30qCmzE1 https://t.co/1Grho8ol03",Author to Author,223,NA
855252265971720192,1406694330245562372,2021-06-20T19:23:58Z,longliveere,@NosaNebula raising kids on survival instead of love is terrible parenting,Twitter for Android,88,NA
224092466,1406694297580281862,2021-06-20T19:23:50Z,SarcastiCarrie,"For the record, my dad is pretty great.
And whenever I am doing a parenting thing &amp; just don't feel it, I impersonate my dad.",Twitter for Android,129,NA
1043471832,1406694289845915650,2021-06-20T19:23:48Z,nirvanagham,"Happy Father’s Day to all the mommas who step up and fill both parenting roles, the surrogate dads, the trans dads and the gay dads who have to go through hell to even parent &lt;3 ily and you’re all valid.",Twitter for iPhone,140,NA
581542330,1406694274343731202,2021-06-20T19:23:44Z,tamashbeen_,Parenting is a difficult task especially for a muslim in this part of the world where hate against us is so normal. We have to answer lot of questions raised by kids.,Twitter for Android,166,NA
583373531,1406694238302216200,2021-06-20T19:23:36Z,FredaMcPhail,"Happy Father's Day Ryan. Couldn't imagine parenting with anyone else! Because of you, Dev will continue to grow into the man I dreamed he would be and Embree will always know her worth and beauty! Thank you for being an amazing dad to the amazing people we were blessed with. I💜U https://t.co/DX5i8OwHvc",Twitter for Android,279,NA
960719428475326470,1406694235089346569,2021-06-20T19:23:35Z,namgibisxul,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for iPhone,122,NA
2564117987,1406694234346987523,2021-06-20T19:23:35Z,sylperez50,@TexansLady03 Thank you for mentioning that have both roles of mom &amp; dad. Single parenting…I gave my ALL to my kids. They deserved my time which was my love without saying it.,Twitter for iPhone,165,NA
822193407896457216,1406694229435428865,2021-06-20T19:23:34Z,igitangaza_eddy,"Feeling deeply grateful for the role model and father that you are! 

Parenting for the past decades, and now sharing the journey of becoming grandparents with you @PaulKagame, is a blessing, no words can fully express. https://t.co/8uwDjIu9DS",Twitter for iPhone,139,NA
1376170881391661057,1406694208354852864,2021-06-20T19:23:29Z,Jackson51977418,@Silly_Gurl0721 @robertsgm @GregAbbott_TX Pro abortion rights = being ok w/killing of innocent tiny humans if it unshackles women from the burden of childbearing &amp; parenting… to match men’s similar ability to “walk away”. That’s a lot of killing for supposed equal socio economic rights. Death for equality seems wrong.,Twitter for iPhone,281,NA
993104404294356998,1406694208082264064,2021-06-20T19:23:28Z,theemikehobart,"@theemikehobart my motivation has always been to stay truer and hold fast against the bashing waves of negativity. has worked so far.  parenting is hard, but sticking to your standards is the only way to survive.",Twitter for iPhone,140,NA
