±¹°¡,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Benin,-,43.4,-,-,-,47.8,-,-,-,-
Cameroon,-,-,-,-,46.6,-,-,-,-,-
Congo,-,48.9,-,-,-,-,-,-,-,-
Egypt,30.2,-,28.3,-,-,31.8,-,31.5,-,-
Ethiopia,33.2,-,-,-,-,35.0,-,-,-,-
Gabon,-,-,-,-,-,-,-,38.0,-,-
Ghana,-,-,42.4,-,-,-,43.5,-,-,-
Kenya,-,-,-,-,-,40.8,-,-,-,-
Liberia,-,-,-,-,33.2,-,35.3,-,-,-
Madagascar,42.4,-,42.6,-,-,-,-,-,-,-
Morocco,-,-,-,39.5,-,-,-,-,-,-
Nigeria,-,-,-,-,-,-,-,-,35.1,-
Senegal,-,40.3,-,-,-,-,-,-,-,-
South Africa,63.4,-,-,-,63.0,-,-,-,-,-
Sudan,-,-,-,-,34.2,-,-,-,-,-
Tanzania,-,37.8,-,-,-,-,-,40.5,-,-
Togo,-,46.0,-,-,-,43.1,-,-,-,-
Tunisia,35.8,-,-,-,-,32.8,-,-,-,-
Zambia,55.6,-,-,-,-,57.1,-,-,-,-
Australia,34.7,-,-,-,34.4,-,-,-,-,-
Fiji,-,-,-,36.7,-,-,-,-,-,-
